question	answer	final_QT	final_AS
بدأت حديثا بتناول دواء سيروكسات 20 لمعالجة الرهاب الاجتماعي بمقدار نصف حبة يوميا لكن ظهرت لدي مشكلة كثرة التثاؤب ،هل ستبقى هذه المشكلة طيلة فترة العلاج او فقط في البداية ؟ كيف اتخلص منها ؟	في البدايه فقط وتزول بالتدريج	['B', 'D']	['1']
سهر، حب ترتيب الأشياء والنظافة، صرف المال بكترة في عدة اوجه،	اذا تأكد ان الاكتئاب الي عندو ذهاني ربما بكون غير مسؤل. الافضل مراجعة طبيب نفسي بالعيادة واستشارة مختص بالقانون	['E']	['1', '2']
هل الوسواس القهري مرض مزمن ؟؟	الوسواس القهري من الامراض المزمنة والتي لابد من تدخل علاج دوائي ونفسي لتتحسن الحالة	['D']	['1']
أعاني من مشكل في دماغي احس بضغط فيه و لا أستطيع التركيز و الاستيعاب ولو ل 15 دقيقة وبعد محاولة التركيز و استيعاب الشرح أحس بألم في رأسي و بعض الأحيان لا أستطيع حل أبسط الأشياء و أحس أن دماغي توقف عن التفكير , هذا مع العلم أنني في الصيف كنت أسهر كثييييييرا أمام شاشة الكمبيوتر و الطبيب شخص لي التهاب الأنف التحسسي	من خلال الوصف لحالتك يبدوا انك تعاني من احدى حالات التوتر النفسي التحولي والذي تكثر فيه الاعراض الجسديه انصحك باستشاة طبيب نفسي .شافك الله	['A']	['1', '2']
ما هو علاج الخوف من المستقبل و الافكار المزعجة جدا التي لا تتوقف	الحل الوحيد هو التعامل بواقعية وعدم تهويل الأمور وتكريس الجهد في أداء الواجبات اليومية , وفي حالة استمرار الحالة ينبغي معاودة أخصائي نفسية للوقوف على تفاصيل أكثر قد تكون تتعلق بمستوى معين من الأفكار التسلطية التي تسبب حالة من الوسواس القهري, وهذا سيتم التخلص منه من خلال الخطة العلاجية التي ستتحدد بعد التأكد من التشخيص	['B', 'E']	['1', '2']
السلام عليم ...انا شاب ابلغ من العمر28 سنة . انني احس بضيق في الصدر مع خفقان القلب وخوف ورهبة.اجريت جميع الفحوصات ...والتحاليل ولايوجد بي شئ.ارجوكم اريد جواب...وشكرا لكم	اخي الكريم ان شعورك بضيق الصدر والخفقان والرهبة والخوف ناجم عن حالة نفسية هي الهلع وهي واسعة الانتشار مارس الرياضة والصلوات والقراءة والاستماع للموسيقى وتناول اليانسون والنعناع وابتعد عن النيكوتين والكفائيين واستشر طبيب نفسي لمتابعة حالتك	['A']	['1', '2']
ما علاقة الصرع بالكآبة؟وهل له تأثير على القدرات العقلية؟	للصرع علاقة وطيدة بالكثير من الاضطرابات النفسية (الاكتئاب تزداد احتماليه، الذهان و اضطراب المزاج كذلك)	['A', 'D']	['1']
يجيني اكتئاب مو دايم ومن أي شيى اكتئب ايش الحل	أضطراب المشاعر هذا الاحساس طبيعي بكونك انثى حساسه عليكي تعامل مع الأكتئاب بشكل ممنهج و صريح بتغير الحاله باي فعل خارجي : رياضه رسم	['A', 'B']	['1']
السلام عليكم أنا بنت بعمر 14 منذ طفولتي كنت أحب أنا اكون عالم خاص في مخيلتي افعل فيه ما لا استطيع فعله في ارض الواقع منذ سنتين أصبحت لا احب الخروج من البيت ومشدودة الإنتباه عندما لبدء بالمذكره اجد نفسي اتخيل المواقف ماا الحل حيث اني أريد تركيزي الكامل عندما اذكر ولا اريد التخيل وانااذكر ؟	سلامتك الانغماس في احلام اليقظة والتخيل المفرط الذي يشتت الانتباه بحاجة لمراجعة طبية لمعرفة السبب وعندها يكون العلاج اسهل وادق	['A', 'B']	['1', '2', '3']
هل مرض الأكتئاب وراثي؟لو كان احد الزوجين لديه هذا المرض هل ينتقل لأبنائهم بالوراثة؟لو تم علاجه هل ينتكس الشخص من جديد؟وبماذا تنصحون بمن بيتزوج بفتاه لديها الاكتئاب يتزوج او لا	الاكتئاب مرض تتداخل عدة عوامل في ظهوره، الوارثة تلعب دورا لكنها لا تنتقل بالضرورة الى الابناء ، خصوصا اذا كانت من النوع التفاعلي ، اي الاكتئاب الناتج عن الظروف الاجتماعية والمادية، بناءا على تقييم الحالة نستطيع الاجابة ان كان الشخص سينتكس او لا.. ... ومبدأيا لا يوجد ما يمنع من الزواج للأن الاكتئاب مرض له علاج مثل بقية الامراض العضوية، المهم ان يتقبل المريض أخذالعلاج ويلتزم به	['A', 'D']	['1']
اشعر باني مرهق ومتعب لكن عند طلب شيء مني او افعل شيء يطلب مني يذهب الشعور بالتعب لكن متشتت فكرياوعدم التركيز في ابسط الاشياء هل اقوم بتحليلات.شكرا	أعراض فقدان متعة و اهتمام و هي من الأعراض الاكتئابية أنصح بإجراء وظائف الغدة الدرقية و تحليل الخضاب و الكالسيوم	['A']	['1', '2']
اعاني من عدم الشعور بالواقع والام قي خلف الراس واهتزاز الجسم و تنميل في الاطراف	اغلب الظن انها حاله هستيريه للهروب من واقع غير مرغوب فيه لابد من جلسه مناقشه فرديه للاضطلاع علي الاسباب ووضع خطه علاجيه	['A']	['1', '2']
السلام عليكماعاني من كثرة البصق منذ عام تقريبا و اشعر بحاجة الى البصق كل مدة قصيرة و هذا يحصل لي عندما تكون وحيدة او في المنزل مع انني لا اقوم بهذا امام الناس الغرباء	يمكن أن يكون هذا نوع من الوسواس القهري	['A']	['1']
السلام عليكم : انا تنتابني نوبات خوف وهلع وتصيبني رعشة وضيق في التنفس وخفقان في دقات القلب وتعرق شديد ودوخة حتى اصل إلى شعور باني سوف اموت ارجو منكم اجابة ؟	حاله هلع او الخوف المرضي و هو من الامراض الشائعه فلا تقلقي لانه علاجه ليس صعبا .بعض الجلسات النفسيه و الادويه وسرعان ما تزول كل الاعراض	['A', 'B']	['1', '3']
قلق وتوتر وتفكير زايد	كم العمر لم يذكر عمر المريض وما هي تفاصيل المعاناة  من المفيد التدرب على الاسترخاء وعلى التفكر الارتقائي يمكن مراجعة اقرب مستشفى او عيادة للصحة النفسية عند الحاجة	['A']	['1', '2']
رجفه في الجسم بحس اني سقعان اوي وفقدان اعصاب ممكن تفضل ساعه او اكتر وباخد برشام بخاخ حساسيه للصدر .. لا اتناول علاج للحساسيه ولو سمعت خبر وحش بتوتر جامد وبحس اني مش قادر اقف علي رجلي واعصابي سيبه	سلامتك قد يكون طبيعة الشخصية حساسة وقد يكون جزء من قلق نفسي بحاجة للعلاج	['A']	['1', '2', '3']
اعاني من مشاكل نفسية صعبة جداً بعد ترك العادة السرية مثل القلق الشديد و التوتر و الخوف تركتها لمدة شهرين و ما اتحسنت ماذا افعل لتزول اثارها النفسية فأنا لا استطيع التحمل طمني	تعتبر ممارسة العادة السرية احيانا من وسائل تخفيف القلق الخاطئة لابد من مراجعة طبيب نفسي	['B', 'E']	['1', '2']
لا استطيع الاستيقاظ صباحا للذهب الى العمل و اجد صعوبه في التواصل مع الاخرين برغم انني اجتماعية جدا ولكن في هده الفترة اشعر بالتعب والنعاس و الخمول و عدم القدره على الاختلاط	عليكي ان تجري فحص دم انا اتوقع ان فيتامين e فيه نقص	['A', 'E']	['1', '2']
ارجوكم ساعدوني فانا اتخيل اشياء غريبة و اتخيل ان مشاكل ستحدث لي اصبحت اخاف كثيرا من المستقبل احب ان اجرح نفسي بالات حادة و افكر انه لو واجهتني مشكلة سانتحر احس بغثيان و بكاء	التفكير بأفكار سيئة وغريبة والشكوى ب(أتخيل أشياء واصدقها) يمكن أن يكون بسبب: اضطراب القلق. اضطراب الوسواس القهري، والذي يتميز بتكرر أفكار معينة على الشخص تجبره على فعل تصرفات لا يرغب بها، ولكن يفعلها ليتخلص من الصوت وتكراره. وكلاهما يمكن أن يكون مرافق لاضطرابات عديدة أخرى مثل الاضطراب ثنائي القطب أو الاكتئاب. ومع وجود أفكار تهدد الحياة مثل إيذاء الذات والرغبة في الانتحار يستدعي ذلك مراجعة طبيب نفسي، حيث أن الطبيب النفسي سيساعد على فهم المشكلة وتفسير سبب هذه الأفكار الغريبة والخيالات، كما أنه سيصف علاج. وكل ذلك مهم في حماية المريض من تعريض نفسه للخطر، لذا ينصح بمراجعة طبيب نفسي بشكل عاجل. للمزيد: اختبار الوسواس القهري زيارة الطبيب النفسي بين ثقافة العيب و واقع الحاجة	['A', 'B']	['1', '2']
السلام عليكم ورحمة الله وبركاته ممكن اخد دواء سبرالكس بدون وصفة الطبيب وكم المدة التي يتم اخدها	أفضل ان تتابع من قبل طبيب نفسي	['B']	['1', '2']
عدم الاهتمام بالمظهر رؤية اشخاص سماع اصوات مزعجه الكسل والخمول والعزله والتدخين والاكتئاب الام في البطن محاولة ايذاء النفس	هذه اعراض ذهان او الفصام وليس اضطراب الشخصيه	['A', 'E']	['1']
طبي اعاني من وسواس النوم كل يوم اقول اني لن انام الليلة واخاف منه كيف اتخلص من هدا الوسواس وما اسبابه ؟	هل مع هذا الوسواس لا تنام أم ينتهي الأمر بنومك فعلاً؟... على أي الأحوال المثل يقول (إللي يخاف من العفريت يطلع له) وأنت تخيف نفسك كل يوم بهذا الموضوع... حاول عندما تنتابك الفكرة أن تطردها من دماغك بتغيير نشاطك أو القيام بأي شيء يفصلك عن الاستمرار في الفكرة... ولا تذهب إلى سريرك إلا وأنت في حاجة فعلية للنوم أو حين يغلب عليك النوم حتى لا تتقلب كثيراً في السرير وتتأكد لديك فكرة أنك لن تنام....وحاول قراءة كتاب ممل وأنت على السرير لتشتيت أفكارك حتى يغلب عليك النوم	['B', 'D']	['1', '2']
غياب النوم في الليل مع شعور بقلق اكثر ونوبات من الخوف	الارق احد اعراض مرض الاكتئاب او مرض القلق.. يفضل زيارة الطبيب النفسي لدقة التشخيص واختيار العلاج المناسب	['A']	['1', '2']
كانت اعراض هلاوس وأوهام شفيت منها بلادوية بقية اعراض فراغ في النفس خمول عدم النشاط عدم الوعي الصمت وكثرة العزلة عدم الثقة بالنفس و ملل ارتباك في الحديث	لا بد من المتابعه المستمرة مع الطبيب النفسي لتعديل أو اضافة علاج لان الأعراض المرضيه ربما تختفي وتظهر أعراض مرضيه مختلفه وهذا شائع في الهوس الاكتئابي	['A', 'B']	['1', '2']
السلام عليكم ورحمة الله ؛ ما أسباب الضحك المستمر ، من دون سبب ؟ شكراً لكم ، أتمنى الرد .	يرتبط الضحك بأذهاننا بشكل عام بالشعور بالفرح والسعادة، إلا أن الضحك دون سبب أو عند عدم وجود داعي لذلك وبشكل مستمر ومتكرر يمكن أن يكون علامة تدل على وجود مشكلة مرضية وتحتاج المتابعة. ومن اسباب الضحك بدون سبب: الضحك العصبي (بالإنجليزية: Nervous Laughter) وهو الضحك نتيجة التوتر، كأن يضحك الشخص بدل أن يبكي حين يمر بموقف صعب وحزين، وهو أمر عارض يمكن أن يمر به أي شخص نتيجة التوتر. تأثير البصيلة الكاذبة (بالإنجليزية: Pseudobulbar Affect) وهو مرض عصبي نتيجة تضرر جزء محدد من الدماغ يجعل المريض يمر بنوبات ضحك أو بكاء لا تلائم الظرف، ويفقد فيها السيطرة على نفسه، ويكون عند مرضى باركنسون، أو مرضى التصلب اللويحي، أو مرضى الاكتئاب، واضطراب ثنائي القطب. ورم في الدماغ يؤثر على المنطقة المسؤولة عن الضحك. متلازمة أنجلمان. متلازمة توريت، ويعاني صاحبها من تكرار تصرف أو صوت أو حركة بشكل لا إرادي، مثل تكرر الضحك دون قدرته على السيطرة عليه أو إيقافه.  لذا ينصح في حال كان الضحك المستمر والشديد دون سبب يحدث بشكل متكرر، أو رافقه أعراض عصبية أخرى فينصح بمراجعة الطبيب لتقييم الحالة بشكل أفضل. للمزيد:  فوائد الضحك الصحية واضرار الضحك الكثير	['A', 'D']	['1']
جميع اشارات الاكتئاب تنطبق علي و اصبحت اثر على من حولي بطريقه سلبيه.	من الافضل التواصل مع مختص لتشخيص الحالة اكثر بحيث يحدد اذا كان يتطلب التدخل الدوائي او الاكتفاء بجلسات العلاج النفسي	['A', 'B']	['2']
يادكتور اعاني من شلل النوم وجداً جالسه اخاف	من الضروري عمل تخطيط نوم ،مراجعة أخصائي صدرية	['A', 'B']	['2']
دوخه وضيق تنفس وعدم وضوح الرويه واعصابي سايبه واوجاع متفرقه في كامل الجسم وبشك في اي اكل اكله انه هيتعبني واحساس بلهلع والخوف وخصوصا لما اكون في مان في ناس كتير بحسس هيغمي عليا وهموت	لا يصح التشخيص فقط بسرد الأعراض دون معرفة السيرة المرضية، الصحيح مراجعة طبيب في عيادته او عبر اتصال مرئي كي يستطيع مساعدتك على التشخيص	['A', 'E']	['1', '2']
ماذا علي ان افعل لقد استعملت الدواءlEXOMIL كله و لم اسمع كلام الطبيب اللذي قال لي استعملي هذا الدواء فقط لسبعة ايام و الان نفذ مني ماذا علي فعله .. فعلت هكذا لاني اعيش اضطرابات كثيرة	الاضطرابات الكثيرة تحتاج إلى علاج والدواء هو جزء من العلاج ليس كل العلاج	['B']	['1']
انا الف شخصيات من عقلي واحكي وياه بس اني طبيعيه	عادي جدا بل مستحب إن كان الأداء في مجالات الحياة جيد	['A']	['1', '3']
انا متابع مع دكتور اسمه احمد محمدي ابو زيد وماشي علي سبرالكس بتوصية من ليا شهرين ونصف وحاليا ما عارف اتواصل مع الدكتور تاني عشان اعرف امتي ابتدي اخفف الجرعة عشان ابطل العلاج خالص فياريت حد يفيدني؟؟؟؟	الافضل ان الطبيب المعالج د احمد حمدى هو الذى يجيب على السوءال لانه عارف حالتك وعموما السيبرالكس بنوصفه لمرضى القلق والاكتءاب وعاده العلاج بيستمر على الاقل سته شهور ثم نبطل العلاج بالتدريج باشراف الطبيب المعالج	['B', 'F']	['1', '2']
اسماء ادويه تعالج انفصام الشخصيه	إن أدوية انفصام الشخصية يجب أن يتم وصفها من قبل الطبيب المختص بعد تشخيص الحالة، ولكن هذه مجموعة الأدوية التي يتم وصفها  الريسبيريدون. الأولانزابين. كيوتيابين.  اقرأ المزيد: أدوية لعلاج انفصام الشخصية. علما أن هذه الأدوية لا تصرف بلا وصفة طبية.	['B']	['1']
اعانى من الم ف الصدر وضيق التنفس و زغلله فى العين وأجريت منظار للمعده وتبين ارتجاع مرئ هل الارتجاع يسبب كل هذا ؟	لاترهق نفسك بالفحوصات العضويه فلن تصل لشئ في الغالب انت تعاني من اضطراب الهلع والعلاج بسيط باْذن الله بعد الكشف عند الطبيب النفسي المناسب ومرحبًا بك في اَي وقت	['A', 'C', 'D']	['1', '2', '3']
اعاني من سرعة الغضب حتى على ابسط الامور و عندما اكون غاضبا لا افكر بجد ماذا اقول فأحيانا يتسبب لي بمشاكل مع الاشخاص فعندما اهدأ اعرف اني بالغت الاسباب و العلاج	تحتاج الى علاجات سلوكية ومعرفية كمعرفة ادارة الذات والسيطرة على الغضب	['B']	['1', '2']
ابنتي عمرها 15عام عندها وسواس قهري في التفكير منذ الطفوله حتى الان تصل انها تفكر انها كافرة والكثير من الاشياء في جميع المجالات اي شيء تشاهده تفكر فيه و تتخايله وتخبرني به تشعر بعد ذلك انه ضميرهامرتاح و علينا قول ان هذا الشيء صح و حلال وتستمر بإخباري كل ما تفكر فيه انا تعبت وخايفه عليها أيضا	عزيزتي جميل جدا انها تصارحك استمري معها ولا تلوميهم على اي شي لتستمر بالحكي معك وارشادها بالطريقة الصحيحة المشوقه وكوني صديقة لها .. اجعليها تمارس الرياضة حتى لو مشي ساعه باليوم	['A', 'E', 'Z']	['1', '2', '3']
ما هي آثار دواء tryptophen بشكل عام وعلى التركيز والذاكرة بشكل خاص؟ وكم المدة التي تحتاج لكي تزول؟	الـtryptophen هو حمض أميني أساسي يدخل في صناعة هرمون السيروتونين أو ما يعرف بهرمون السعادة، ويحصل الجسم على حاجته الكافية من هذا الحمض الأميني من خلال الطعام حيث يوجد بشكل جيد في كل من: البيض. السمك. الدجاج. القرع. الأجبان. ومن الفوائد العديدة التي يحصل عليها الجسم نتيجة استخدام الـtryptophen الموجود في الطعام أنه يساعد على تحسين المزاج، ويحسن من جودة النوم، ويحسن من حالة الشخص النفسية. واستخدامه على شكل مكملات غذائية لا ينصح به إلا تحت إشراف الطبيب لأنه يمكن أن يسبب عدد من الأضرار الجانبية منها: الحموضة. ألم المعدة. الغثيان والاستفراغ. الاسهال. الصداع. ألم العضلات. متلازمة السيروتونين. ويجدر الإشارة إلا أنه لا يوجد له تأثير مباشر على تحسين الذاكرة والقدرة على التركيز، إلا أن تحسين النوم وتحسين المزاج ينعكس بشكل إيجابي على هذه الأمور. للمزيد: كثرة النسيان ضعف التركيز: أعراضه وأسبابه	['B', 'D']	['1']
منذ شهر وانا في حالة غريبة ، حيث أنني أشعر فجأة بسخونة في جسمي ، فآخذ علاج للحرارة وأخلد للنوم فأتعرق عرق كثير جدا لمدة يوم أو ليلة ثم أشعر بتحسن ثم تتكرر مرة أخرى بعد يوم	ربما تحتاج العرض على طبيب باطني وإجراء بعض الفحوص والتحليلات	['A']	['1', '2']
انا اعاني من خوف وتوتر من كل شي وصرت اكره اللحظات السعيده لانها توترني وتجيب لي حزن واحس اني مراقبه ومو قادره اخفف توتر في كل لحظه ف حياتي	حضرتك تعاني من اعراض قلق شديد الفحص النفسي ضروري لاختيار العلاج المناسب	['A']	['1', '2']
مرض ثنائي القطب .. الاضطراب الوجداني حصل لأخي قبل 5 سنوات واخذ العلاج وتحسن وبعدها بثلاثة شهور توقف عن العلاج الان في 2020 بدأ يتحدث كثيرا وله 10 ايام لا ينام	من المفترض عدم وقف العلاج أو تغييره إلا ان طلب طببيه ذلك فقط. من الضروري جدا مراجعته لطبيبه بأسرع وقت	['B']	['1', '2']
أنا طالب أعاني من توتر نفسي وعلى مرور ٤ سنوات ارسب في صفي الأخير ولا اتخرج من هذه المرحلة مع أن كنت طالب مجتهد جداً في الصفوف التي قبله ما الحل	تحتاج الى الحديث مع مختص نفسى واخراج كل ما بداخلك من أفكار وسرد تفاصيل حياتك قبل المشكلة وبعد المشكلة حتى يتمكن المختص النفسى من الوقوف على اسباب مشكلتك ومساعدتك	['A', 'B']	['2', '3']
السلام عليكم ما هي اثار النفسية للعادة السرية	اذا كانت بشكل يومي ولا يمكنك ايقافها فعندها تؤدي الى التوتر العصبي المزمن	['D', 'E']	['1']
تفكير زيادة جدا و رسم سنياريوهات و تخيل احداث مستقبلية غير منطقية	الافكار الوسواسية والقهري تحتاج الى تشخيص دقيق من متخصص يشاهد الحالة ومن ثم يقرر احتياجاتها العلاجية النفسية السلوكية والدوائية	['A']	['1', '2']
أختي طالبة بكالويا عمرها 18سنة تعاني من حلة نفسية لم تكن قادرة على المراجعة بعد بسب ارتعاش (طفطيف)في القلب والخوف من الموت والاختناق مع العلم أنها تنام 4ساعة في اليوم وتسهرليل	اهلا بناءا على المعطيات القليله المذكوره يبدو ان اختك تعاني من نوبات هلع . هذه النوبات تزداد اثناء فترة الضغوط النفسيه مثل ايام الاختبارات . وكذلك تناول المنبهات كالقهوه و مشروبات الطاقه . انصح اختك بان تبتعد عن اي ماده تحتوي على الكافيين و ان تزور معالج / معالجة نفسية لتعليمها طرق الاسترخاء و التعامل مع مثل هذه النوبات قبل الانتقال الى العلاج الدوائي	['A', 'B']	['1', '2']
هل الاكتئاب يسبب اختلال الانية .. .. وهل اذا ما زال الاكتئاب تزول الافكار السلبية ..؟؟	مرحبا, الاكتئاب يزول عن طريق إزالة الأفكار السلبية وإعادة بناءها بشكل ايجابي مع المداومة علي دواء للاكتئاب. الرجاء مراجعة طبيب واخصاءي نفسي.	['A', 'D']	['1', '2']
السلام عليكم عندي المدام لما حاجه بتزعلها اوي وتخليها توصل لمرحة البكاء احيانا تفقد الوعي و تقعد تجز على اسنانها كأنها بتقرد عليها لفترة و اقعد افوق فيها لفترة على ماتفوق ممكن اعرف السبب وهل دي مشكلة نفسية ؟	هذه الحالة تصنف من حالات الامراض العصبية. وهي نوبات تشنج عام تنتج عن الإنفعال او الإجهاد والتعرض للشمس، ولتشخيصها بالشكل السليم يعمل تخطيط دماغ للمريض لتبيان النشاط الدماغي. وهذه الحالة تشكل خطورة على صحة المصاب بها اذا تركت من تركت دون علاج. ويجب اخذ استشارة كبيب الأعصاب.	['A', 'D']	['1', '2']
ماذا لو تناوله شخص دواء nozinan لم يتناوله من قبل أو أكثر من الجرعات إلى حد كبير؟ هل له تأثيرات خطيرة عليه، لأن أخي تناول منه كميات كبيرة مما أدى الى انفصام في شخصيته دكتور أرجو الجواب	يحتوي دواء nozinan 25 mg على المادة الفعالة ليفوميبرومازين التي تنتمي إلى مجموعة مضادات الذهان ويستخدم في بعض حالات الذهان وانفصام الشخصية وتخفيف الآلام المزمنة الشديدة تحت إشراف الطبيب المختص فقط. تجدر الإشارة إلى أن الجرعة اليومية يجب ألا تتعدى 25-50 مغ يومياً بحيث تكون الجرعة مقسمة إلى 3 جرعات على مدار اليوم، ويمكن أخذ الجزء الأكبر من الجرعة عند موعد النوم لتجنب بعض الآثار الجانبية وأهمها التهدئة خلال النهار.  وأما بالنسبة للآثار الجانبية الخطيرة التي ترافق الجرعات العالية من nozinan دواء فتشمل: النعاس. فقدان الوعي. انخفاض ضغط الدم. عدم انتظام ضربات القلب. انخفاض درجة حرارة الجسم. التشنجات. إن ملاحظة أي تغير في الحالة الشخصية أو ازديادها سوءاً على الرغم من تناول العلاج بالطريقة الصحيحة يستدعي مراجعة الطبيب بأسرع وقت ممكن لتجنب ازدياد الحالة سوءاً. للمزيد: ما هي أنواع الذهان أو الاضطرابات الذهانية؟ اضرار الادوية النفسية	['B']	['1', '2']
أحاول منذ 4 سنوات أو أكثر العمل على ذاتي ولكني توقفت تماما عن فعل أى شىء أحبه ولا أرغب في شىء سوى الموت أو الهروب فقط.لا أستطيع تذكر المعلومات، أرق متواصل خلال النوم/ أحلام مزعجة, تقليل في بعض الأحيان من ذاتي، البكاء، خسارة الأصدقاء والأهل والعمل والأهداف، التوتر من أى كلمة،الإنعزال،عدم تنسيق الكلام	سلامتك، توصفين بكلماتك شكل من اشكال الاكتئاب و القلق و عادة بحاجة لتقييم حدته او شدته من قبل طبيب للتمكن من رسم خطة علاجية لك	['A']	['1', '2', '3']
لا املك هدف اكره التجمعات اكره النظر في وجوه الناس و العكس اكره البقاء مع اصدقائي مع اني كنت احب ذلك اظن اني سافشل في سنتي الثانوية الاخيرة ولا اعرف ماذا افعل	زيادة الضغوط المرحليه في سنوات العمر يشعر الإنسان بالحزن والضيق وعدم الاستمتاع بالأنشطة المعتاده بالإضافة لاضطرابات النوم وضعف التركيز وغيرها الكثير من الأعراض لكن هل يعني هذا مرض الاكتئاب أو هل تحتاج لعلاج سلوكي أو دوائي هذا ما سيحدده طبيب نفسي متمرس لذا وجب عليك زيارته واطلاعه على كامل شكواك تمنياتي بالتوفيق	['A', 'B', 'E']	['1', '2', '3']
ابحث عن طبيب يسطتيع علاج تعدد الشخصية الطبيب السوداني شخصني بفصام البرانويا واعطاني دواء ريسبريدون لكن كلما احدثة عن التعدد يقول هذه الحبوب ستشفيك منه وانا اعرف علاجه بالتنو	تعدد الشخصية يخف ويزول مع التقدم في العمر. ولذلك لا داعي للقلق بشأنه وانت في عقدك الثلاثين.	['A', 'B', 'F']	['1', '3']
اعيش بالسعودية و من فترة اصابتني حالة الخوف من الاصابة بفيروس كورونا حيث انني اتوتر كل ما شعرت باحتقان بالحلق ر اشعر بان توتري هذا و كثرة قراءتي عن المرض تزيد الاحساس بالمرض عندي ماذا افعل ارجوكم ساعدوني فقد بدا الامر يسيطر على حياتي	لاداعي للقلق , حالات الكورونا غير منتشرة بالمدن ونسب الاصابة متدنية والان اصبح المرض في تراجع , عليك ملىء وقتك بما هو مفيد من مطالعة او رياضة , هذا الشعور عادة يكون في السنة الاؤلى من الاغتراب وعدم التكيف ويزول مع الوقت	['B', 'E']	['1', '3']
أعاني من أفكار تقول لي أنت لا تتصرفين على طبيعتك أنت متصنعة حاولت التخلص من هذه المشكلة لكن لا جدوى حتى عندما أكون لوحدي. وأيضا اهتمامي بالآخرين كبير مثلا عندما أقوم لفعل شيء أمام الناس أفكر ما رأيهم فيني كيف أبدو لهم . أريد التخلص من هذه المشكلة مع العلم هذه المشكلة لم تكن في لم ألاحظ حتى بدأت في.	كل التحية لكي اختي الكريمة . نشاهد هذه الاعراض عادة في اضطراب الوسواس القهري و عند من يعانون من اضطرابات القلق و الكآبة . لا بد من معلومات اضافية للتشخيص الدقيق لحالتك .لذا انصحك بزيارة الطبيب النفسي للتقييم و العلاج.	['B']	['1', '2']
اخي مريض فصام نعطيه الدواء دون علمه من ٤ اشهر حالته تحسنت لكن يجب اخباره ولا اعرف كيف ولا اعلم رد فعله وهو الان عازم على العيش بمفرده وانا اخاف من انتكاسه واحتاج المعونه والمشوره في حال عرف انه مريض ما هي ردود فعله المتوقعه	اسال الطبيب الاول هل اخوك مستبصر بحالتة فاينفع تخبرة ام غير مستبصر وهنا هينكر المرض ويهمل العلاج	['A', 'B', 'E']	['2']
انا رجل ابلغ من العمر اربعون عام ولم اتزوج من قبل ولكن الان افكر في الزواج والبعض ينصحني بعدم الزواج لتقدم سني واني لا استطيع ان اعيش حياة سعيده بعد هذا العمر	لا تسمع ل احد ...السعادة غيرمرتبطه بسن ..انت بنفسك مسؤول عن سعادتك .. بامكانك اسعاد نفسك في كل الاوقات وعمل كل مايحلو لك في اطار ما احله الله لنا ...والزواج نعمه كبيرة احلها و انعم الله بها علينا ....لذلك تزوج ونتمني لك التوفيق	['E']	['2', '3']
انارحت قبل سنتين لي دكتور نفساني وتعالجت عنده وراحت الاعراض وحسيت نفسي احسن بكثير وتركت العلاج ورجعت اضطربات النوم والقلق وش الحل ارجع لي الدكتور	من الأفضل أن تراجع طبيبك السابق... وخاصة انك تحسنت على العلاج.	['A', 'B', 'F']	['2']
طول الوقت حزينه رغم الاشياء اللي تفرح حولي ،ضيييق ،نغزات بالقلب، كراهية لبعض اللي حولي ورغبه شديدة في قتلهم ، فقدت المتعه في هواياتي وكل شي كنت استمتع به ، اهداف مشتته ومشوهة	يعاني العديد من الأشخاص من الحزن معظم الأوقات وعدم القدرة على الفرح أو ما يعرف باسم انعدام التلذذ، حيث أنه يعتبر من أعراض الاكتئاب الشديد الذي يرافقه العديد من الأعراض ومنها: فقدان الاهتمام بالأنشطة التي تم الاعتياد على الاستمتاع بها. تقليل العلاقات والانسحاب من العلاقات السابقة. تقليل العلاقات الاجتماعية. وجود مشاعر سلبية تجاه النفس والآخرين. انخفاض القدرة العاطفية مثل القدرة على التعبير اللفظي وغير اللفظي. صعوبة التكيف مع المواقف المختلفة. فقدان الرغبة الجنسية. ظهور مشاكل جسدية بصورة مستمرة مثل كثرة المرض. إظهار مشاعر وهمية مثل التظاهر بالسعادة. لا يمكن تحديد السبب والتشخيص دون الرجوع للطبيب المختص بالأمراض النفسية من أجل تحديد الأسباب العضوية أو النفسية والحاجة للعلاج، مع ضرورة اتباع النصائح التالية: مراجعة الأدوية المستخدمة وتقييم تأثيرها على انعدام التلذذ بما في ذلك مضادات الاكتئاب. ضرورة تقييم الوضع من قبل الأخصائي النفسي. استشارة الطبيب حول العلاج بالصدمات الكهربائية. استشارة الطبيب حول العلاج عن طريق التحفيز المغناطيسي عبر الجمجمة. استشارة الطبيب حول العلاج المعرفي السلوكي. للمزيد: ما هو الفرق بين الاكتئاب الخفيف، المتوسط والشديد؟ الوسواس القهري، الاكتئاب، القلق و السيروتونين نصائح للتخلص من الاكتئاب من دون أدوية	['A', 'E']	['1', '2']
اعاني من الخوف المرضي واريد استخدام تمرين الاسترخاء.. فهل يقلل الخوف لمدة قصيرة فقط أم يقلله عامة علي المدي البعيد؟	الاسترخاء مفيد وكذلك عدم القراءه عن الامراض خوفا منها	['B', 'D']	['1']
